Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C6, C8",0603,5,100n/50V,
"C10, C9",0805,2,1u/16V,
"C4, C5",0603,2,1u/50V,
C7,CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder,1,47u/16V,
D1,1206,1,RD,
D2,1206,1,YL,
"D3, D9",1206,2,GR,
"D4, D6",D_SOD-323F,2,RB751V,
"D5, D7, D8",1206,3,RED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J1,GCT_USB4520-03-0-A_REVA,1,USB_C_Receptacle_USB2.0_16P,
J2,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J5,SWEB 8094 RED,1,red,
J6,SWEB 8094 BLACK,1,black,
"J7, J8",TerminalBlock_MetzConnect_Type094_RT03504HBLU_1x04_P5.00mm_Horizontal,2,Screw_Terminal_01x04,
J9,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
"JP1, JP2, JP3, JP4, JP5",TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,5,Jumper_2_Open,
"R1, R8, R9",1206,3,500,
"R10, R2, R5, R6, R7",0805,5,10k,
"R3, R4",0805,2,1k5,
"SW1, SW2",SW_SPST_TL3305A,2,SW_Omron_B3FS,
U1,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,1,FUSB302BMPX,
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32F030F4Px,
VR1,TS2940CW33_RPG,1,TS2940CW33_RPG,
