Designator,Mid X,Mid Y,Rotation,Layer
C1,167.715,-76.2,90.0,top
C10,136.6,-81.407,180.0,top
C2,157.428,-76.2,90.0,top
C3,135.33,-97.79,90.0,top
C4,155.65,-76.2,90.0,top
C5,142.95,-64.262,0.0,top
C6,136.6,-79.502,180.0,top
C7,150.57,-58.42,270.0,top
C8,133.298,-76.2,90.0,top
C9,131.393,-76.2,90.0,top
D1,163.27,-55.88,270.0,top
D2,167.08,-55.88,270.0,top
D3,170.89,-55.88,270.0,top
D4,137.87,-60.96,270.0,top
D5,155.015,-55.88,270.0,top
D6,132.79,-60.96,270.0,top
D7,135.33,-55.88,270.0,top
D8,130.25,-55.88,270.0,top
D9,174.6775,-55.9025,270.0,top
J1,111.6,-76.2,270.0,top
J2,191.87,-78.13,180.0,top
J5,195.6,-58.7,270.0,top
J6,195.6,-93.7,270.0,top
J7,115.755,-58.7,270.0,top
J8,115.755,-93.7,270.0,top
J9,140.39,-93.97,0.0,top
R1,155.015,-60.96,90.0,top
R10,174.7,-60.96,90.0,top
R2,163.27,-60.96,90.0,top
R3,150.57,-74.295,270.0,top
R4,150.57,-78.105,90.0,top
R5,140.537,-77.978,90.0,top
R6,167.08,-60.96,90.0,top
R7,170.89,-60.96,90.0,top
R8,135.33,-60.96,90.0,top
R9,130.25,-60.96,90.0,top
SW1,158.19,-93.98,90.0,top
SW2,167.08,-93.98,90.0,top
U1,136.6,-76.2,90.0,top
U2,162.635,-76.2,90.0,top
VR1,144.22,-58.42,90.0,top
